,0
end_date,0.9402427674134471
monthly_charges,0.030506834919000064
total_charges,0.021165591280318155
senior_citizen,0.0078118252614222845
customer_id_2884-GBPFB,0.00024500833894251924
customer_id_2266-SJNAT,6.885140702182613e-06
customer_id_0795-LAFGP,5.915622875660893e-06
customer_id_0562-HKHML,5.601187427962565e-06
customer_id_1929-ZCBHE,5.229503672419982e-06
customer_id_2729-VNVAP,4.341332191619521e-06
